method,kappa,size,mode,repeat,position,cost,duration_s
Co-HeT,2,10,greedy,4,7,6.99343204498291,0.046222686767578125
Co-HeT,2,10,greedy,4,8,8.085613250732422,0.04671454429626465
Co-HeT,2,10,greedy,4,9,7.663234233856201,0.04663991928100586
Co-HeT,2,10,greedy,4,10,9.349239349365234,0.04661679267883301
Co-HeT,2,10,greedy,4,11,8.748815536499023,0.04666423797607422
Co-HeT,2,10,greedy,4,12,5.727897644042969,0.046622276306152344
Co-HeT,2,10,greedy,4,13,7.551692962646484,0.04667329788208008
Co-HeT,2,10,greedy,4,14,8.486483573913574,0.04664325714111328
Co-HeT,2,10,greedy,4,15,6.829237461090088,0.04669547080993652
Co-HeT,2,10,greedy,4,16,7.7911882400512695,0.04667925834655762
Co-HeT,2,10,greedy,4,17,7.994119167327881,0.04669952392578125
Co-HeT,2,10,greedy,4,18,9.370567321777344,0.04663562774658203
Co-HeT,2,10,greedy,4,19,7.352000713348389,0.046690940856933594
Co-HeT,2,10,greedy,4,20,8.029987335205078,0.04664897918701172
Co-HeT,2,10,greedy,4,21,7.788564205169678,0.04667830467224121
Co-HeT,2,10,greedy,4,22,6.535861968994141,0.046620845794677734
Co-HeT,2,10,greedy,4,23,8.69517707824707,0.046643972396850586
Co-HeT,2,10,greedy,4,24,8.768150329589844,0.04662370681762695
Co-HeT,2,10,greedy,4,25,9.69514274597168,0.04659891128540039
Co-HeT,2,10,greedy,4,26,7.580510139465332,0.0466458797454834
Co-HeT,2,10,greedy,4,27,7.749669075012207,0.04659581184387207
Co-HeT,2,10,greedy,4,28,7.4415178298950195,0.04656791687011719
Co-HeT,2,10,greedy,4,29,10.24957275390625,0.046616315841674805
Co-HeT,2,10,greedy,4,30,6.832896709442139,0.046661376953125
Co-HeT,2,10,greedy,4,31,9.416681289672852,0.04659748077392578
Co-HeT,2,10,greedy,4,32,6.936819553375244,0.04665327072143555
Co-HeT,2,10,greedy,4,33,5.875850677490234,0.04664754867553711
Co-HeT,2,10,greedy,4,34,8.3838529586792,0.046616554260253906
Co-HeT,2,10,greedy,4,35,8.24173641204834,0.04659223556518555
Co-HeT,2,10,greedy,4,36,7.348931789398193,0.04662942886352539
Co-HeT,2,10,greedy,4,37,11.04319953918457,0.04664754867553711
Co-HeT,2,10,greedy,4,38,8.43365478515625,0.046630859375
Co-HeT,2,10,greedy,4,39,7.913762092590332,0.04664301872253418
Co-HeT,2,10,greedy,4,40,10.189449310302734,0.04664969444274902
Co-HeT,2,10,greedy,4,41,7.902688026428223,0.04710197448730469
Co-HeT,2,10,greedy,4,42,9.4970703125,0.046597957611083984
Co-HeT,2,10,greedy,4,43,8.605348587036133,0.04664969444274902
Co-HeT,2,10,greedy,4,44,9.2509183883667,0.04660463333129883
Co-HeT,2,10,greedy,4,45,8.353164672851562,0.046648502349853516
Co-HeT,2,10,greedy,4,46,8.13027572631836,0.046666860580444336
Co-HeT,2,10,greedy,4,47,6.044904708862305,0.046532630920410156
Co-HeT,2,10,greedy,4,48,9.375564575195312,0.046129465103149414
Co-HeT,2,10,greedy,4,49,6.934069633483887,0.04630231857299805
Co-HeT,2,10,greedy,4,50,5.399694919586182,0.046195030212402344
Co-HeT,2,10,greedy,4,51,8.486738204956055,0.046596527099609375
Co-HeT,2,10,greedy,4,52,6.0738677978515625,0.04657554626464844
Co-HeT,2,10,greedy,4,53,9.049461364746094,0.04654431343078613
Co-HeT,2,10,greedy,4,54,6.50479793548584,0.046652793884277344
Co-HeT,2,10,greedy,4,55,8.052205085754395,0.04660177230834961
Co-HeT,2,10,greedy,4,56,8.0940580368042,0.04663515090942383
Co-HeT,2,10,greedy,4,57,7.01737117767334,0.046540260314941406
Co-HeT,2,10,greedy,4,58,8.082242012023926,0.046642303466796875
Co-HeT,2,10,greedy,4,59,9.973691940307617,0.04658007621765137
Co-HeT,2,10,greedy,4,60,6.597553730010986,0.0466001033782959
Co-HeT,2,10,greedy,4,61,8.813932418823242,0.046596527099609375
Co-HeT,2,10,greedy,4,62,7.48638391494751,0.04663872718811035
Co-HeT,2,10,greedy,4,63,8.634753227233887,0.04653215408325195
Co-HeT,2,10,greedy,4,64,7.579015254974365,0.04658961296081543
Co-HeT,2,10,greedy,4,65,8.452459335327148,0.046607255935668945
Co-HeT,2,10,greedy,4,66,6.909610271453857,0.04665374755859375
Co-HeT,2,10,greedy,4,67,7.598523139953613,0.046846628189086914
Co-HeT,2,10,greedy,4,68,8.43528938293457,0.0468902587890625
Co-HeT,2,10,greedy,4,69,8.058653831481934,0.04698491096496582
Co-HeT,2,10,greedy,4,70,8.40626335144043,0.046814680099487305
Co-HeT,2,10,greedy,4,71,7.819215774536133,0.046581268310546875
Co-HeT,2,10,greedy,4,72,8.464838981628418,0.046181678771972656
Co-HeT,2,10,greedy,4,73,7.203159809112549,0.04680442810058594
Co-HeT,2,10,greedy,4,74,9.003912925720215,0.04663276672363281
Co-HeT,2,10,greedy,4,75,9.304275512695312,0.04691267013549805
Co-HeT,2,10,greedy,4,76,8.099184036254883,0.04622936248779297
Co-HeT,2,10,greedy,4,77,6.683229446411133,0.04630756378173828
Co-HeT,2,10,greedy,4,78,8.476736068725586,0.04674506187438965
Co-HeT,2,10,greedy,4,79,8.52052116394043,0.04680299758911133
Co-HeT,2,10,greedy,4,80,6.760463714599609,0.04674935340881348
Co-HeT,2,10,greedy,4,81,8.07357406616211,0.04673624038696289
Co-HeT,2,10,greedy,4,82,10.114139556884766,0.04672408103942871
Co-HeT,2,10,greedy,4,83,8.250495910644531,0.04827761650085449
Co-HeT,2,10,greedy,4,84,7.4585723876953125,0.046875953674316406
Co-HeT,2,10,greedy,4,85,6.438791275024414,0.04668879508972168
