candidate_source,method,mode,rep,kappa,size,instance_index,instance_name,objective,distance,tardiness,runtime_s,status,objective_validation,objective_consistency_error,instance_hash_source
Gurobi,Gurobi,,,2,20,12,N20_K2_M12_I12,7.10261184163028,12.026061476394236,2.179162206866324,3600.0090000629425,time_limit_feasible,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,20,13,N20_K2_M12_I13,10.23683627468939,15.751651154323223,4.722021395055557,3600.0090000629425,time_limit_feasible,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,20,14,N20_K2_M12_I14,8.473517088502243,13.815202440823953,3.131831736180535,3600.007999897003,time_limit_feasible,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,20,15,N20_K2_M12_I15,9.323911936526358,13.58168288098616,5.066140992066552,3600.0090000629425,time_limit_feasible,components_recomputed,1.7763568394002505e-15,source_record
Gurobi,Gurobi,,,2,20,16,N20_K2_M12_I16,10.221532022060003,14.876238628620737,5.566825415499272,3600.0099999904637,time_limit_feasible,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,20,17,N20_K2_M12_I17,9.523753283817696,13.866369163432296,5.181137404203101,3600.0080001354218,time_limit_feasible,components_recomputed,1.7763568394002505e-15,source_record
Gurobi,Gurobi,,,2,20,18,N20_K2_M12_I18,10.186709147047548,16.157643176432313,4.215775117662785,3600.0090000629425,time_limit_feasible,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,20,19,N20_K2_M12_I19,9.18735759541978,14.002191326076254,4.372523864763309,3600.0069999694824,time_limit_feasible,components_recomputed,1.7763568394002505e-15,source_record
Gurobi,Gurobi,,,2,20,20,N20_K2_M12_I20,10.604408379444422,15.576465920893822,5.632350837995023,3600.0069999694824,time_limit_feasible,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,20,21,N20_K2_M12_I21,10.928217877353038,16.42082304863202,5.435612706074059,3600.007999897003,time_limit_feasible,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,20,22,N20_K2_M12_I22,10.60901113476158,16.448676074011612,4.769346195511546,3600.007999897003,time_limit_feasible,components_recomputed,1.7763568394002505e-15,source_record
Gurobi,Gurobi,,,2,20,23,N20_K2_M12_I23,11.707858174770594,16.4944046498346,6.92131169970659,3600.0060000419617,time_limit_feasible,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,20,24,N20_K2_M12_I24,11.517216020972077,16.1071461347596,6.927285907184555,3600.008999824524,time_limit_feasible,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,20,25,N20_K2_M12_I25,9.134417024349087,13.97774780237773,4.291086246320447,3600.007999897003,time_limit_feasible,components_recomputed,0.0,source_record
