category,method,mode,kappa,size,instance_index,instance_name,repetition_n,mean_objective,bks_objective,rpd
MILP,Gurobi,,2,50,14,N50_K2_M12_I14,1,21.20127769159993,15.975650515833728,32.709949247994615
MILP,Gurobi,,2,50,15,N50_K2_M12_I15,1,16.952597298011163,14.28626667269874,18.66359271038821
MILP,Gurobi,,2,50,16,N50_K2_M12_I16,1,19.722360768804307,15.011433601379396,31.382260299189717
MILP,Gurobi,,2,50,17,N50_K2_M12_I17,1,16.77684694944932,13.474429132945945,24.508777209928166
MILP,Gurobi,,2,50,18,N50_K2_M12_I18,1,22.2778467561286,14.360389709472656,55.13399849750101
MILP,Gurobi,,2,50,19,N50_K2_M12_I19,1,24.389113505191634,16.337875366210938,49.27959088016921
MILP,Gurobi,,2,50,20,N50_K2_M12_I20,1,28.8971209743986,16.3212348542293,77.05229556763916
MILP,Gurobi,,2,50,21,N50_K2_M12_I21,1,22.14668860265213,16.76668930053711,32.08742767090386
MILP,Gurobi,,2,50,22,N50_K2_M12_I22,1,21.49670627318416,14.41786766052246,49.097680595614406
MILP,Gurobi,,2,50,23,N50_K2_M12_I23,1,22.052322096925884,13.672842025756836,61.285576585934535
MILP,Gurobi,,2,50,24,N50_K2_M12_I24,1,19.035951437587883,12.856556787105072,48.06414931158433
MILP,Gurobi,,2,50,25,N50_K2_M12_I25,1,22.75801321021131,14.650301933288574,55.34159851340884
MILP,Gurobi,,2,50,26,N50_K2_M12_I26,1,31.93678274230724,16.737407684326172,90.81080741203789
MILP,Gurobi,,2,50,27,N50_K2_M12_I27,1,19.028360738966736,15.5103178024292,22.681952628891633
MILP,Gurobi,,2,50,28,N50_K2_M12_I28,1,22.48911543341874,16.790122985839844,33.9425295001425
MILP,Gurobi,,2,50,29,N50_K2_M12_I29,1,22.812104112506297,17.097026824951172,33.42731660931021
MILP,Gurobi,,2,50,30,N50_K2_M12_I30,1,19.84147607913259,14.68577480316162,35.106770633994934
MILP,Gurobi,,2,50,31,N50_K2_M12_I31,1,13.19363670959575,12.810611724853516,2.989903940333613
MILP,Gurobi,,2,50,32,N50_K2_M12_I32,1,15.759838327541924,11.88365364074707,32.61778577510928
MILP,Gurobi,,2,50,33,N50_K2_M12_I33,1,30.69460508079467,14.555395126342772,110.88129050679424
MILP,Gurobi,,2,50,34,N50_K2_M12_I34,1,22.84377066337972,16.0112427488809,42.67331413094949
MILP,Gurobi,,2,50,35,N50_K2_M12_I35,1,21.72816691569978,15.77580379992255,37.73096566912461
MILP,Gurobi,,2,50,36,N50_K2_M12_I36,1,18.56015504217872,13.198009000675697,40.62844661818687
MILP,Gurobi,,2,50,37,N50_K2_M12_I37,1,19.98055339837164,15.321008682250977,30.412780338142063
MILP,Gurobi,,2,50,38,N50_K2_M12_I38,1,24.33804015696721,14.944655418395996,62.85447523272104
