category,method,mode,kappa,size,rpd_n,mean_rpd,sd_rpd,time_s,rpd_rank
Sample-1280,MVMoE,sample1280,2,20,100.0,7.238533451443725,2.9001983713724013,0.13456646919250484,11
Sample-1280,HDRL,sample1280,2,20,100.0,4.800122665846346,2.278723942354558,0.10270374536514276,5
Sample-1280,TDRL,sample1280,2,20,100.0,8.527968815549167,2.9407261046721493,0.11682253837585443,12
Sample-1280,ECHO,sample1280,2,20,100.0,6.558628351047883,2.646083344274319,0.10025532245635983,9
Sample-1280,Co-HeT,sample1280,2,20,100.0,2.7632991080657323,1.981892711288909,0.1185745549201965,3
Sample-1280,AM,sample1280,2,50,100.0,10.095509417321345,3.3347971064969433,0.24318019390106196,6
Sample-1280,MVMoE,sample1280,2,50,100.0,10.278767628653236,2.9246941826686648,0.3223149251937866,7
Sample-1280,HDRL,sample1280,2,50,100.0,11.490034509979715,3.184348150592037,0.2860556292533874,9
Sample-1280,TDRL,sample1280,2,50,100.0,11.088403426000726,3.0922844520142996,0.27781872272491454,8
Sample-1280,ECHO,sample1280,2,50,100.0,10.03527294279891,2.8889664181711447,0.23826554298400876,5
Sample-1280,Co-HeT,sample1280,2,50,100.0,0.48275417447643704,1.0996043749945879,0.3229770612716675,1
Sample-1280,AM,sample1280,2,100,100.0,15.587767265716513,3.8017991878596056,0.5065932846069336,6
Sample-1280,MVMoE,sample1280,2,100,100.0,10.367445518978462,3.624428330288639,0.6361999845504761,3
Sample-1280,HDRL,sample1280,2,100,100.0,57.714329258049155,83.64492301131354,0.7492344522476196,16
Sample-1280,TDRL,sample1280,2,100,100.0,12.133388767109183,3.87534373264444,0.5732643413543701,5
Sample-1280,ECHO,sample1280,2,100,100.0,11.142198943912417,3.0698545625712668,0.5027190256118774,4
Sample-1280,Co-HeT,sample1280,2,100,100.0,0.037429698148760286,0.37429698148760276,0.8485122752189637,1
Sample-1280,AM,sample1280,3,10,100.0,2.399522460095197,2.237395310174354,0.0644571995735168,6
Sample-1280,MVMoE,sample1280,3,10,100.0,3.030103731798747,2.5929332651906822,0.0862334585189819,8
Sample-1280,HDRL,sample1280,3,10,100.0,1.7690781620881597,2.0737202466776163,0.06551075220108028,4
Sample-1280,TDRL,sample1280,3,10,100.0,1.3285757534621498,1.3920246124372166,0.07904230833053584,3
Sample-1280,ECHO,sample1280,3,10,100.0,2.7006412747102018,3.039061687407981,0.06392236232757564,7
Sample-1280,Co-HeT,sample1280,3,10,100.0,1.9492371664956378,2.2632651737435276,0.07347171545028683,5
Sample-1280,AM,sample1280,3,20,100.0,5.179350031136783,3.2199932754894873,0.12238699197769161,5
Sample-1280,MVMoE,sample1280,3,20,100.0,5.286481685155028,2.878819423676466,0.1648641967773437,6
Sample-1280,HDRL,sample1280,3,20,100.0,3.710894263688339,2.6112350946422027,0.1266822814941406,3
Sample-1280,TDRL,sample1280,3,20,100.0,5.510015418009687,3.14196970271734,0.1500844311714172,7
Sample-1280,ECHO,sample1280,3,20,100.0,5.9309530474475265,3.283216844471687,0.12120047807693478,9
Sample-1280,Co-HeT,sample1280,3,20,100.0,1.8442514119243159,1.833267241334536,0.138345935344696,1
Sample-1280,AM,sample1280,3,50,100.0,7.2994089127999064,3.10770326535119,0.2928500914573669,5
Sample-1280,MVMoE,sample1280,3,50,100.0,6.970148088346081,3.2573243219217742,0.39771591663360595,3
Sample-1280,HDRL,sample1280,3,50,100.0,9.438638690373569,3.3492718920976814,0.3786294746398926,6
Sample-1280,TDRL,sample1280,3,50,100.0,9.600913108611167,3.7140613358468086,0.3615763854980469,7
Sample-1280,ECHO,sample1280,3,50,100.0,7.219930005413958,2.9808069167259728,0.293719835281372,4
Sample-1280,Co-HeT,sample1280,3,50,100.0,0.04025163725521283,0.28448887479744794,0.3879839897155762,1
Sample-1280,AM,sample1280,3,100,100.0,11.125488922308236,2.887367237129583,0.6078108930587769,5
Sample-1280,MVMoE,sample1280,3,100,100.0,7.618304151388621,2.7130863984368774,0.7886948871612549,3
Sample-1280,HDRL,sample1280,3,100,100.0,20.872697402838426,3.552859152855144,0.9951858115196228,9
Sample-1280,TDRL,sample1280,3,100,100.0,12.317268202908396,3.2614986156029655,0.7473680186271667,6
Sample-1280,ECHO,sample1280,3,100,100.0,10.129708191020153,2.4394708690876135,0.5966666316986085,4
Sample-1280,Co-HeT,sample1280,3,100,100.0,0.004902083725137168,0.049020837251371685,0.9882156467437744,1
