method,kappa,size,mechanism,decode,n_instances,objective_mean,objective_sd,distance_mean,tardiness_mean,id_degradation_percent_mean,rank
HDRL,2,20,Joint,greedy,100,11.212102467417903,2.2187710869296127,16.716052970888,5.708151963949669,1.246140821864489,2
HDRL,2,20,Joint,sample1280,100,10.249277584552202,1.9817441814961878,15.447554416654995,5.05100075245075,-0.5070559945901959,2
HDRL,2,20,P-Lognormal,greedy,100,11.2829873907516,1.2268433571224455,16.961277112959998,5.604697668551802,1.3858643406167814,2
HDRL,2,20,P-Lognormal,sample1280,100,10.4260700744377,1.0846429977924765,15.830730533601002,5.0214096152782,0.6784840219988341,2
HDRL,2,20,P-TruncNormal,greedy,100,11.165318624970002,1.3159364039035963,16.87016716957,5.460470080374801,0.11178854798020729,2
HDRL,2,20,P-TruncNormal,sample1280,100,10.3468344676508,1.0284949530050123,15.740582304000002,4.9530866312979,-0.09372082375152242,2
HDRL,2,50,D-AntiDistance,greedy,100,22.060710484976003,1.8055671421652657,35.663754787442,8.4576661825149,23.070199881332847,6
HDRL,2,50,D-AntiDistance,sample1280,100,20.041251487728,1.3456878848377323,32.449095439913,7.6334075355533,22.356832535668012,6
HDRL,2,50,D-Bimodal,greedy,100,20.272257730957,3.5976260266803144,31.012648811339005,9.531866650582586,13.039249993997357,5
HDRL,2,50,D-Bimodal,sample1280,100,18.146882173417,2.8885565210804063,29.03073959350599,7.263024753334464,10.751470998647083,5
HDRL,2,50,D-IID,greedy,100,18.531290153265,2.8517237122128813,30.410516281129002,6.652064025402627,3.2739848249880668,6
HDRL,2,50,D-IID,sample1280,100,16.687060059904,2.398768739487025,27.835805282594002,5.538314837218525,1.6425803325336974,6
HDRL,2,50,ID,greedy,100,18.044373189208,1.670074011489958,29.859341945644005,6.229404432773899,0.0,6
HDRL,2,50,ID,sample1280,100,16.465787570476,1.3591017718117082,27.594619407658,5.3369557332995985,0.0,6
HDRL,2,50,Joint,greedy,100,18.556060290039998,2.612128269252778,30.137735538481003,6.97438504159322,3.4935441418515847,6
HDRL,2,50,Joint,sample1280,100,16.675602389867,2.2754554826170503,27.713865871430997,5.637338908314621,1.8338556275108266,6
HDRL,2,50,P-Lognormal,greedy,100,18.368148963451,1.5958954860202947,30.077379703523007,6.6589182233812005,2.0948190885888875,5
HDRL,2,50,P-Lognormal,sample1280,100,16.676795867682003,1.3823924896697397,27.638801593779,5.7147901415818,1.332266071701629,6
HDRL,2,50,P-TruncNormal,greedy,100,18.125538426636997,1.5824241971676458,30.14796926498,6.1031075882915005,0.6864860473331721,6
HDRL,2,50,P-TruncNormal,sample1280,100,16.452698135373996,1.3166017138385115,27.509844913480993,5.3955513572694,-0.030007582070059078,5
HDRL,3,20,D-AntiDistance,greedy,100,18.624853627682995,1.8218219609008417,25.359844017029005,11.8898632383377,20.983869441751445,2
HDRL,3,20,D-AntiDistance,sample1280,100,17.208334546094,1.442618005034906,24.333002719876,10.0836663723032,20.10201317497311,2
HDRL,3,20,D-Bimodal,greedy,100,16.924131081105,2.977228450272854,23.473410568239,10.374851593970497,10.264485462071193,2
HDRL,3,20,D-Bimodal,sample1280,100,15.849162420042001,2.6372518308518926,22.027482471465,9.670842368602202,10.79596085212019,2
HDRL,3,20,D-IID,greedy,100,15.7717279473,2.8904371739595103,23.053392486571003,8.49006340801551,2.723384840617113,2
HDRL,3,20,D-IID,sample1280,100,14.689944352206304,2.617036384061217,21.695417118078,7.68447158634446,2.7167244313001344,2
HDRL,3,20,ID,greedy,100,15.520099098682001,1.7927809436948845,23.246150283816995,7.7940479135499,0.0,2
HDRL,3,20,ID,sample1280,100,14.415879102948997,1.4366815150003063,21.889125881192996,6.942632324695199,0.0,2
